time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
494,3650.0,,,,,,,,,,
495,7111.0,,,,,,,,,,
496,8760.0,,,,,,,,,,
497,8937.0,,,,,,,,,,
498,7276.0,,,,,,,,,,
499,4472.0,,,,,,,,,,
500,2889.0,,,,,,,,,,
501,1765.0,,,,,,,,,,
502,1260.0,,,,,,,,,,
503,898.0,,,,,,,,,,
504,685.0,,,,,,,,,,
505,579.0,,,,,,,,,,
506,412.0,,,,,,,,,,
507,403.0,,,,,,,,,,
508,322.0,,,,,,,,,,
509,291.0,,,,,,,,,,
510,335.0,,,,,,,,,,
511,277.0,,,,,,,,,,
512,268.0,,,,,,,,,,
513,338.0,,,,,,,,,,
514,335.0,,,,,,,,,,
515,267.0,,,,,,,,,,
516,223.0,,,,,,,,,,
517,245.0,,,,,,,,,,
518,167.0,,,,,,,,,,
519,176.0,,,,,,,,,,
520,125.0,,,,,,,,,,
521,175.0,,,,,,,,,,
522,123.0,,,,,,,,,,
523,117.0,,,,,,,,,,
524,157.0,,,,,,,,,,
525,154.0,,,,,,,,,,
526,164.0,,,,,,,,,,
527,317.0,,,,,,,,,,
528,460.0,,,,,,,,,,
529,606.0,,,,,,,,,,
530,628.0,,,,,,,,,,
531,649.0,,,,,,,,,,
532,607.0,,,,,,,,,,
533,712.0,,,,,,,,,,
534,672.0,,,,,,,,,,
535,683.0,,,,,,,,,,
536,758.0,,,,,,,,,,
537,758.0,,,,,,,,,,
538,904.0,,,,,,,,,,
539,962.0,,,,,,,,,,
540,1284.0,,,,,,,,,,
541,1481.0,,,,,,,,,,
542,503.0,,,,,,,,,,
543,700.0,,,,,,,,,,
544,1200.0,,,,,,,,,,
545,1847.0,,,,,,,,,,
546,4509.0,,,,,,,,,,
547,9761.0,,,,,,,,,,
548,11582.0,,,,,,,,,,
549,7979.0,,,,,,,,,,
550,5776.0,,,,,,,,,,
551,4652.0,,,,,,,,,,
552,3409.0,,,,,,,,,,
553,2418.0,,,,,,,,,,
554,1274.0,,,,,,,,,,
555,672.0,,,,,,,,,,
556,452.0,,,,,,,,,,
557,252.0,,,,,,,,,,
558,268.0,,,,,,,,,,
559,241.0,,,,,,,,,,
560,155.0,,,,,,,,,,
561,115.0,,,,,,,,,,
562,117.0,,,,,,,,,,
563,90.0,,,,,,,,,,
564,144.0,,,,,,,,,,
565,134.0,,,,,,,,,,
566,104.0,,,,,,,,,,
567,60.0,,,,,,,,,,
568,100.0,,,,,,,,,,
569,52.0,,,,,,,,,,
570,57.0,,,,,,,,,,
571,79.0,,,,,,,,,,
572,58.0,,,,,,,,,,
573,50.0,,,,,,,,,,
574,57.0,,,,,,,,,,
575,43.0,,,,,,,,,,
576,78.0,,,,,,,,,,
577,90.0,,,,,,,,,,
578,121.0,,,,,,,,,,
579,237.0,,,,,,,,,,
580,337.0,,,,,,,,,,
581,373.0,,,,,,,,,,
582,442.0,,,,,,,,,,
583,326.0,,,,,,,,,,
584,473.0,,,,,,,,,,
585,626.0,,,,,,,,,,
586,542.0,,,,,,,,,,
587,672.0,,,,,,,,,,
588,547.0,,,,,,,,,,
589,408.0,,,,,,,,,,
590,490.0,,,,,,,,,,
591,550.0,,,,,,,,,,
592,543.0,,,,,,,,,,
593,486.0,,,,,,,,,,
594,245.0,,,,,,,,,,
595,277.0,,,,,,,,,,
596,547.0,,,,,,,,,,
597,336.0,,,,,,,,,,
598,373.0,,,,,,,,,,
599,385.0,,,,,,,,,,
600,376.0,,,,,,,,,,
601,359.0,,,,,,,,,,
602,382.0,,,,,,,,,,
603,341.0,,,,,,,,,,
604,341.0,,,,,,,,,,
605,320.0,,,,,,,,,,
606,243.0,,,,,,,,,,
607,234.0,,,,,,,,,,
608,137.0,,,,,,,,,,
609,185.0,,,,,,,,,,
610,201.0,,,,,,,,,,
611,172.0,,,,,,,,,,
612,173.0,,,,,,,,,,
613,206.0,,,,,,,,,,
614,151.0,,,,,,,,,,
615,159.0,,,,,,,,,,
616,145.0,,,,,,,,,,
617,180.0,,,,,,,,,,
618,199.0,,,,,,,,,,
619,231.0,,,,,,,,,,
620,167.0,,,,,,,,,,
621,139.0,,,,,,,,,,
622,96.0,,,,,,,,,,
623,123.0,,,,,,,,,,
624,114.0,,,,,,,,,,
625,82.0,,,,,,,,,,
626,85.0,,,,,,,,,,
627,89.0,,,,,,,,,,
628,116.0,,,,,,,,,,
629,158.0,,,,,,,,,,
630,127.0,,,,,,,,,,
631,323.0,,,,,,,,,,
632,389.0,,,,,,,,,,
633,515.0,,,,,,,,,,
634,522.0,,,,,,,,,,
635,641.0,,,,,,,,,,
636,771.0,,,,,,,,,,
637,1066.0,,,,,,,,,,
638,875.0,,,,,,,,,,
639,948.0,,,,,,,,,,
640,667.0,,,,,,,,,,
641,860.0,,,,,,,,,,
642,758.0,,,,,,,,,,
643,784.0,,,,,,,,,,
644,813.0,,,,,,,,,,
645,682.0,,,,,,,,,,
646,475.0,,,,,,,,,,
647,357.0,,,,,,,,,,
648,513.0,,,,,,,,,,
649,523.0,,,,,,,,,,
650,584.0,,,,,,,,,,
651,519.0,,,,,,,,,,
652,792.0,,,,,,,,,,
653,559.0,,,,,,,,,,
654,460.0,,,,,,,,,,
655,383.0,,,,,,,,,,
656,444.0,,,,,,,,,,
657,525.0,,,,,,,,,,
658,512.0,,,,,,,,,,
659,627.0,,,,,,,,,,
660,721.0,,,,,,,,,,
661,818.0,,,,,,,,,,
662,704.0,,,,,,,,,,
663,1055.0,,,,,,,,,,
664,843.0,,,,,,,,,,
665,688.0,,,,,,,,,,
666,507.0,,,,,,,,,,
667,348.0,,,,,,,,,,
668,328.0,,,,,,,,,,
669,232.0,,,,,,,,,,
670,277.0,,,,,,,,,,
671,272.0,,,,,,,,,,
672,264.0,,,,,,,,,,
673,329.0,,,,,,,,,,
674,143.0,,,,,,,,,,
675,176.0,,,,,,,,,,
676,167.0,,,,,,,,,,
677,150.0,,,,,,,,,,
678,64.0,,,,,,,,,,
679,122.0,,,,,,,,,,
680,105.0,,,,,,,,,,
681,130.0,,,,,,,,,,
682,144.0,,,,,,,,,,
683,208.0,,,,,,,,,,
684,356.0,,,,,,,,,,
685,519.0,,,,,,,,,,
686,526.0,,,,,,,,,,
687,698.0,,,,,,,,,,
688,497.0,,,,,,,,,,
689,686.0,,,,,,,,,,
