time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
339,220.0,,,,,,,,,,
340,380.0,,,,,,,,,,
341,534.0,,,,,,,,,,
342,502.0,,,,,,,,,,
343,697.0,,,,,,,,,,
344,751.0,,,,,,,,,,
345,639.0,,,,,,,,,,
346,760.0,,,,,,,,,,
347,659.0,,,,,,,,,,
348,578.0,,,,,,,,,,
349,542.0,,,,,,,,,,
350,164.0,,,,,,,,,,
351,63.0,,,,,,,,,,
352,59.0,,,,,,,,,,
353,,,,,,,,,,,
354,,,,,,,,,,,
355,,,,,,,,,,,
356,,,,,,,,,,,
357,,,,,,,,,,,
358,,,,,,,,,,,
359,,,,,,,,,,,
360,,,,,,,,,,,
361,,,,,,,,,,,
362,,,,,,,,,,,
363,,,,,,,,,,,
364,,,,,,,,,,,
365,,,,,,,,,,,
366,,,,,,,,,,,
367,,,,,,,,,,,
368,,,,,,,,,,,
369,,,,,,,,,,,
370,,,,,,,,,,,
371,,,,,,,,,,,
372,,,,,,,,,,,
373,,,,,,,,,,,
374,,,,,,,,,,,
375,,,,,,,,,,,
376,,,,,,,,,,,
377,,,,,,,,,,,
378,131.0,,,,,,,,,,
379,298.0,,,,,,,,,,
380,319.0,,,,,,,,,,
381,213.0,,,,,,,,,,
382,258.0,,,,,,,,,,
383,315.0,,,,,,,,,,
384,330.0,,,,,,,,,,
385,319.0,,,,,,,,,,
386,301.0,,,,,,,,,,
387,258.0,,,,,,,,,,
388,411.0,,,,,,,,,,
389,432.0,,,,,,,,,,
390,39.0,,,,,,,,,,
391,451.0,,,,,,,,,,
392,987.0,,,,,,,,,,
393,733.0,,,,,,,,,,
394,727.0,,,,,,,,,,
395,722.0,,,,,,,,,,
396,516.0,,,,,,,,,,
397,418.0,,,,,,,,,,
398,259.0,,,,,,,,,,
399,304.0,,,,,,,,,,
400,227.0,,,,,,,,,,
401,216.0,,,,,,,,,,
402,164.0,,,,,,,,,,
403,142.0,,,,,,,,,,
404,28.0,,,,,,,,,,
405,,,,,,,,,,,
406,,,,,,,,,,,
407,,,,,,,,,,,
408,,,,,,,,,,,
409,,,,,,,,,,,
410,,,,,,,,,,,
411,,,,,,,,,,,
412,,,,,,,,,,,
413,,,,,,,,,,,
414,,,,,,,,,,,
415,,,,,,,,,,,
416,,,,,,,,,,,
417,,,,,,,,,,,
418,,,,,,,,,,,
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,,,,,,,,,,,
424,,,,,,,,,,,
425,,,,,,,,,,,
426,,,,,,,,,,,
427,,,,,,,,,,,
428,,,,,,,,,,,
429,,,,,,,,,,,
430,70.0,,,,,,,,,,
431,266.0,,,,,,,,,,
432,207.0,,,,,,,,,,
433,152.0,,,,,,,,,,
434,171.0,,,,,,,,,,
435,236.0,,,,,,,,,,
436,250.0,,,,,,,,,,
437,258.0,,,,,,,,,,
438,275.0,,,,,,,,,,
439,238.0,,,,,,,,,,
440,398.0,,,,,,,,,,
441,299.0,,,,,,,,,,
442,42.0,,,,,,,,,,
443,345.0,,,,,,,,,,
444,568.0,,,,,,,,,,
445,645.0,,,,,,,,,,
446,704.0,,,,,,,,,,
447,756.0,,,,,,,,,,
448,818.0,,,,,,,,,,
449,807.0,,,,,,,,,,
450,717.0,,,,,,,,,,
451,754.0,,,,,,,,,,
452,657.0,,,,,,,,,,
453,493.0,,,,,,,,,,
454,373.0,,,,,,,,,,
455,225.0,,,,,,,,,,
456,85.0,,,,,,,,,,
457,11.0,,,,,,,,,,
458,,,,,,,,,,,
459,,,,,,,,,,,
460,,,,,,,,,,,
461,,,,,,,,,,,
462,,,,,,,,,,,
463,,,,,,,,,,,
464,,,,,,,,,,,
465,,,,,,,,,,,
466,,,,,,,,,,,
467,,,,,,,,,,,
468,,,,,,,,,,,
469,,,,,,,,,,,
470,,,,,,,,,,,
471,,,,,,,,,,,
472,,,,,,,,,,,
473,,,,,,,,,,,
474,,,,,,,,,,,
475,,,,,,,,,,,
476,,,,,,,,,,,
477,,,,,,,,,,,
478,,,,,,,,,,,
479,,,,,,,,,,,
480,,,,,,,,,,,
481,,,,,,,,,,,
482,105.0,,,,,,,,,,
483,119.0,,,,,,,,,,
484,201.0,,,,,,,,,,
485,149.0,,,,,,,,,,
486,159.0,,,,,,,,,,
487,253.0,,,,,,,,,,
488,277.0,,,,,,,,,,
489,280.0,,,,,,,,,,
490,281.0,,,,,,,,,,
491,315.0,,,,,,,,,,
492,336.0,,,,,,,,,,
493,273.0,,,,,,,,,,
494,,,,,,,,,,,
495,,,,,,,,,,,
496,402.0,,,,,,,,,,
497,437.0,,,,,,,,,,
498,480.0,,,,,,,,,,
499,540.0,,,,,,,,,,
500,595.0,,,,,,,,,,
501,592.0,,,,,,,,,,
502,566.0,,,,,,,,,,
503,584.0,,,,,,,,,,
504,445.0,,,,,,,,,,
505,330.0,,,,,,,,,,
506,302.0,,,,,,,,,,
507,250.0,,,,,,,,,,
508,128.0,,,,,,,,,,
509,9.999999974752427e-07,,,,,,,,,,
510,,,,,,,,,,,
511,,,,,,,,,,,
512,,,,,,,,,,,
513,,,,,,,,,,,
514,,,,,,,,,,,
515,,,,,,,,,,,
516,,,,,,,,,,,
517,,,,,,,,,,,
518,,,,,,,,,,,
519,,,,,,,,,,,
520,,,,,,,,,,,
521,,,,,,,,,,,
522,,,,,,,,,,,
523,,,,,,,,,,,
524,,,,,,,,,,,
525,,,,,,,,,,,
526,,,,,,,,,,,
527,,,,,,,,,,,
528,,,,,,,,,,,
529,,,,,,,,,,,
530,,,,,,,,,,,
531,,,,,,,,,,,
532,,,,,,,,,,,
533,,,,,,,,,,,
534,170.0,,,,,,,,,,
535,160.0,,,,,,,,,,
536,278.0,,,,,,,,,,
537,238.0,,,,,,,,,,
538,187.0,,,,,,,,,,
539,250.0,,,,,,,,,,
540,275.0,,,,,,,,,,
541,283.0,,,,,,,,,,
542,288.0,,,,,,,,,,
543,378.0,,,,,,,,,,
544,482.0,,,,,,,,,,
545,479.0,,,,,,,,,,
546,99.0,,,,,,,,,,
547,97.0,,,,,,,,,,
548,353.0,,,,,,,,,,
549,553.0,,,,,,,,,,
550,862.0,,,,,,,,,,
551,914.0,,,,,,,,,,
552,960.0,,,,,,,,,,
553,757.0,,,,,,,,,,
